Sr. no,Quote,Source,Category,Question ,Answer,Religion,,
1,"""Now faith is the substance of things hoped for, the evidence of things not seen.""",Bible,Faith,What is faith?,Faith is confidence in what we hope for and assurance about things not seen.,Christianity,,
2,"""Love is patient, love is kind. It does not envy, it does not boast, it is not proud.""",Bible,Love,How is love described?,"Love is patient, kind, not envious, boastful, or proud.",Christianity,,
3,"""For I know the plans I have for you, declares the Lord, plans to prosper you and ",Bible,Hope,What are God's plans for us?,"Plans to prosper us, not harm us; to give us hope and a future",Christianity,,
,"not to harm you, plans to give you a future and a hope.""",,,,,,,
4,"""I can do all things through Christ who strengthens me.""",Bible,Strength,What can we do through Christ?,We can do all things through Christ who strengthens us.,Christianity,,
5,Peace I leave with you; my peace I give you. I do not give to you as the world gives. ,Bible,Peace,What kind of peace does Jesus give?,"A peace unlike the world’s, one that calms fear and trouble.",Christianity,,
,"Do not let your hearts be troubled and do not be afraid.""",,,,,,,
6,"If we confess our sins, he is faithful and just to forgive us our sins and to cleanse us",Bible,Forgiveness,What happens if we confess our sins?,God forgives us and cleanses us from all unrighteousness.,Christianity,,
,"from all unrighteousness.""",,,,,,,
7,"""If any of you lacks wisdom, let him ask of God, who gives to all liberally and without",Bible,Wisdom,What should you do if you lack wisdom?,"Ask God, and He will give it generously.",Christianity,,
,"reproach, and it will be given to him.""",,,,,,,
8,"""Have I not commanded you? Be strong and courageous. Do not be afraid; do not be ",Bible,Courage,What command does God give about fear?,Be strong and courageous; God will be with you.,Christianity,,
,"discouraged, for the Lord your God will be with you wherever you go.""",,,,,,,
9,"""Give thanks in all circumstances; for this is God’s will for you in Christ Jesus.""",Bible,Gratitude,When should we give thanks?,In all circumstances—it’s God’s will for us.,Christianity,,
10,"""But be doers of the word, and not hearers only, deceiving yourselves.""",Bible,Obedience,What should we be besides hearers of the word?,"Be doers of the word, not just hearers.",Christianity,,
11,"""One should not abandon righteousness for the sake of wealth, or out of fear,",Ramayana,Dharma,Should one abandon righteousness for wealth or fear?,"No, righteousness should never be abandoned for wealth, desire, fear, or even life.",Hinduism,,
,"or for the sake of desire, or even to save one’s life.""",,,,,,,
12,"""Wherever Rama is, there is Sita; wherever Sita is, there is Rama. ",Ramayana,Devotion,What does the union of Rama and Sita symbolize?,Their presence with each other shows eternal and inseparable union.,Hinduism,,
,"Such is their eternal union.""",,,,,,,
13,"""It is better to die following one's own dharma than to follow the dharma of another.""",Ramayana,Duty,Whose dharma should one follow?,"It is better to follow one's own dharma, even unto death, than another’s.",Hinduism,,
14,"""I may renounce my life, but I shall not renounce my word.""",Ramayana,Truth,What is valued more than life in keeping a promise?,"One should not renounce their word, even if it costs their life.",Hinduism,,
15,"""A king should always seek the welfare of his subjects, even above his own comfort.""",Ramayana,LeaderShip,What should a king prioritize?,The welfare of his subjects above his own comfort.,Hinduism,,
16,"""To protect the truth and uphold righteousness, one must be ready to lose everything.""",Ramayana,Scarifice,What must one be ready for to uphold truth and righteousness?,One must be ready to lose everything.,Hinduism,,
17,"""He who does wrong out of ignorance deserves compassion, not punishment.""",Ramayana,Forgiveness,How should one respond to wrongdoing done out of ignorance?,"With compassion, not punishment.",Hinduism,,
18,"""I cannot live in Ayodhya without Rama; the forest with Rama is heaven to me.""",Ramayana,Loyalty,What makes a place heavenly for a devoted person?,Being with a loved one (like Rama) makes even a forest feel like heaven.,Hinduism,,
